name,parameter_name,sensitivity_rank,npv_impact_pct,npv_impact_elasticity,breakeven_margin,tier,composition,fromula,assumption_rationale,plain_explanation,notes,symbol,unit,value,range_min,range_max,source_names,source_urls
Apprenticeship Monthly Stipend,APPRENTICE_STIPEND_MONTHLY,11,1.3,0.02,N/A,3,BASE,"Gazette notification 2019: ₹5,000-9,000/mo based on educational qualification",Updated Jan 2026: Per Gazette notification dated 25th September 2019 (Table 5.50 in MSDE Report). Stipend rates by education: Class 5-9 pass: ₹5000; Class 10 pass: ₹6000; Class 12 pass: ₹7000; Certificate/Diploma: ₹8000; Graduate: ₹9000. Midpoint ₹7000 used.,"Apprentices receive about ₹7,000 per month during their training year—less than they could earn in informal work, but they gain valuable skills and a much better chance at a formal sector job. Updated from ₹10,000 based on validated Gazette rates.","UPDATED Jan 2026: Value ₹10,000→₹7,000. Range ₹7,500-12,500→₹5,000-9,000. Source: Gazette notification 2019. Rates by qualification: Class 5-9: ₹5k; Class 10: ₹6k; Class 12: ₹7k; Certificate: ₹8k; Graduate: ₹9k. Government reimburses 25% (max ₹1,500/mo). Annual: ₹7,000×12=₹84,000/year.",S_app,INR/month,13205,11000,15000,MSDE_annual_report_23-24  |   Gazette_notification_2019,https://www.msde.gov.in/static/uploads/2024/11/4f71465f72e9f90ff079f76ca2e374a9.pdf  |   https://www.msde.gov.in/static/uploads/2024/04/Guidelines-for-NAPS.pdf
[DEPRECATED] Formal vs. Informal Wage Multiplier (Total Compensation),FORMAL_MULTIPLIER,10,0,0,100,2,CT2,"[DEPRECATED Jan 2026] benefits_adjustment ELIMINATED. PLFS wages are now SSOT: Urban Male Formal ₹32,800 / Informal ₹13,425 = 2.44× embedded ratio.",[DEPRECATED] Jan 2026: Anand guidance - model was over-specified. PLFS wages ALREADY differentiate by sector (2.44× ratio exceeds ILO 2.25× target). No additional benefits_adjustment needed. Parameter retained for documentation only - NOT used in calculations.,[DEPRECATED] Previously used to adjust formal sector wages by 1.21× (= 2.25/1.86). ELIMINATED because PLFS wages already capture formal/informal differential. Model now uses PLFS wages directly as Single Source of Truth.,"DEPRECATED Jan 2026: benefits_adjustment = target_ratio / embedded_ratio NO LONGER APPLIED. Reason: Over-specification - 3 inconsistent data sources (PLFS formal wage, PLFS informal wage, ILO multiplier). PLFS embedded ratio (2.44×) already exceeds ILO target (2.25×). Keeping 2.25× inflated formal wages by 21%.",lambda_formal,multiplier,2.25,2,3,ILO India Wage Report 2018; ILO Global Wage Report 2024-25; Akhter & Negi (2022) formality wage decomposition,
Formal Sector Entry Probability (Higher Secondary),P_FORMAL_HIGHER_SECONDARY,11,0,0,N/A,1,CT2,"E[Wage] = P_FORMAL_HS × (base_wage × education_premium) + (1-P_FORMAL_HS) × (informal_wage × education_premium). With P=0.091: 9.1% get formal benefits, 90.9% stay informal.",Updated Jan 2026: ILO India Employment Report 2024 shows only 9.1% of youth with secondary/higher secondary education were in formal employment in 2022. This is the NATIONAL BASELINE for HS graduates (control group).,"Only 9.1% of HS graduates get formal jobs (ILO 2024). This is the NATIONAL BASELINE used for control group calculations. For RTE graduates, use P_FORMAL_RTE instead (higher due to selection effects and private school networks).","UPDATE Jan 2026: Value corrected to 0.091 (was incorrectly showing 0.3). This is NATIONAL BASELINE for control group. State variation: Bihar ~3%, Bangalore ~15%. Compare: 36.1% formal for college graduates. RTE graduates use separate P_FORMAL_RTE parameter.",P(F|HS),probability,0.091,0.05,0.15,ILO_India_Employment_Report_2024,
Formal Sector Entry Probability (Secondary),P_FORMAL_SECONDARY,12,0,0,N/A,1,CT2,PLFS 2023-24. formal_secondary / total_secondary = 12%,"Estimated from PLFS 2023-24 data, lower than higher secondary (0.20) as expected. Used for counterfactual scenarios modeling RTE dropouts who complete only 10th grade.","Youth with only 10th grade have about 12% chance of formal employment—lower than 12th grade (20%), showing the value of completing higher secondary education.",Lower than higher secondary (20%). Used for counterfactual scenarios (e.g. RTE dropouts completing only 10th grade).,P(F|S),probability,0.12,0.08,0.15,PLFS_annual_report_summary_2023_2024  |   ilo.org  |   worldbank.org,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2057970&reg=3&lang=2  |   https://www.ilo.org/publications  |   https://www.worldbank.org/en/country/india/publication/india-development-update
Real Wage Growth Rate (Informal Sector),REAL_WAGE_GROWTH_INFORMAL,8,4.5,-0.01,100,2,CT2,wage_t = wage_0 × (1 - 0.002)^t. At t=40: wage = wage_0 × 0.92 (8% cumulative decline),"NEW Jan 2026 (Anand guidance): Informal sector wages stagnate or decline due to: no structured progression, competition from younger/cheaper workers, automation pressure, no inflation adjustment in cash payments. Growing inequality means informal falls behind.","Informal workers see -0.2% annual real wage growth (slight decline). Over 40-year career: wages decline 8% in real terms. No promotions, no unions, replaced by younger workers.","NEW Jan 2026: Sector-specific growth rate. Range -1.0% to +0.5% captures: -1.0% (gig economy race-to-bottom), -0.2% (moderate decline), +0.5% (rare high-growth periods). May be negative due to oversupply of low-skilled labor.",g_informal,annual growth rate,-0.002,-0.01,0.005,PLFS 2020-24 informal stagnation; India inequality literature; Anand guidance Dec 2025,
Formal Sector Entry Probability (Youth Without Vocational Training),P_FORMAL_NO_TRAINING,7,6.7,-0.07,100,1,CT2,PLFS 2023-24 youth 18-25 without vocational training. formal/total = 10%,Derived from PLFS employment distribution for youth age 18-25 with 10th/12th pass but NO vocational certification. This is the COUNTERFACTUAL for apprenticeship—what happens without intervention.,"Without any training, only 10% of youth get formal jobs—so apprenticeship's 72% placement rate represents a 62 percentage point improvement. If this baseline were actually 15%, the apprenticeship effect would be overstated.","This is the COUNTERFACTUAL for apprenticeship. The probability of youth without vocational training entering the formal sector in India is 9.1% as of 2022. This probability is lower compared to those with formal or informal vocational training, which stands at 13.2% and 11.2%, respectively. 

Regarding regional variations, the probability of formal sector entry for youths without vocational training varies significantly across regions. For instance, in 2022, the probability was higher in the South (12.3%) and West (12.7%) compared to the Central (9.4%), East (8.6%), and North (6.0%) regions.",P(F|NoTrain),probability,0.09,0.05,0.15,ILO_India_Employment_Report_2024,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2057970&reg=3&lang=2annual-report-plfs-2022-23  |   https://www.ilo.org/asia/publications/india-employment-report-2024  |   https://www.worldbank.org/en/country/india/publication/india-development-update
Social Discount Rate,SOCIAL_DISCOUNT_RATE,2,54.5,-1.16,100,2,CT2,Ramsey formula p + vg = 8.5%.,Updated Jan 2026: Murty & Panda (2020) derive 8.5% using original Ramsey formula (p + vg) for Indian public sector projects. Alternative extended formula yields 6%. The 8.5% is used as primary estimate for long-run investment projects.,Future earnings are worth less than today's earnings—this 8.5% rate determines how much we 'discount' benefits that occur 20-40 years from now. Updated from 3.72% based on validated source analysis.,"UPDATED Jan 2026: Value 3.72%→8.5%, Range 3-8%→6-10%. Murty & Panda (2020) derive: 8.5% (original Ramsey), 6% (extended with precautionary effect). For long-run investment projects, 8.5% appropriate. Term structure: 8% for 30yr projects, declining for longer horizons. Higher rate = more conservative NPV estimates.",δ,annual discount rate,0.05,0.03,0.08,murty_panda_2020_social_time_preference_rate_climate,
Real Wage Growth Rate [DEPRECATED],REAL_WAGE_GROWTH,4,24.7,,N/A,2,CT2,nominal_growth - inflation = 5.5% - 5.4% ≈ 0.01%,[DEPRECATED] Use REAL_WAGE_GROWTH_FORMAL and REAL_WAGE_GROWTH_INFORMAL instead. This single rate was replaced Jan 2026 to model growing inequality between sectors.,[DEPRECATED] Replaced by sector-specific growth rates. Formal sector sees 1.5%/year career progression; informal stagnates or declines. See REAL_WAGE_GROWTH_FORMAL and REAL_WAGE_GROWTH_INFORMAL.,DEPRECATED Jan 2026: Model now uses sector-specific rates to capture growing inequality. Formal workers get promotions and increments; informal workers face stagnation.,g,annual growth rate,0.0001,-0.01,0.01,PLFS_Annual_Report_23_24;    ILO_2024_25_Global_Wage_Report;    PLFS_changes_in_2025_Final,
Apprenticeship Program Completion Rate [Not in model],APPRENTICE_COMPLETION_RATE,,,,N/A,1,CT2,MSDE program data. completed / enrolled = 85%,"Based on MSDE program data showing 85% of enrolled apprentices complete their training. This is independent of the 72% placement rate—completion measures who finishes training, not who gets a formal job afterward.","15% of apprentices drop out before finishing—so for every 100 enrolled, only 85 complete training and become eligible for formal job placement. The remaining 15% leave due to low stipends, employer mismatches, or family financial pressures.","TIER 1 GAP: MSDE tracks but doesn't publish dropout rates. Trade variation: Manufacturing/engineering (80-90% completion), Services/hospitality (70-80%). Combined effect: P(Formal|Started) = 0.72 × 0.85 = 61.2% overall placement rate. Sensitivity: Test [75%, 85%, 95%].",P_complete,proportion,0.85,0.75,0.95,msde.gov.in  |   niti.gov.in  |   worldbank.org,https://msde.gov.in/annual-reports  |   https://www.niti.gov.in/sites/default/files/2023-06/Policy_Brief_India%27s_Booming_Gig_and_Platform_Economy_27062022.pdf  |   https://www.worldbank.org/en/country/india/publication/skilling-india
Apprenticeship Year 0 Net Opportunity Cost [DEPRECATED],APPRENTICE_YEAR_0_OPPORTUNITY_COST [DEPRECATED],,,,N/A,2,CT1,Stipend (₹120k) - counterfactual_wage (₹168k) = -₹49k,Calculated as stipend (₹120k/year) minus what the apprentice could have earned in informal work (₹168k/year per PLFS 2023-24). The negative value represents a real economic cost that must be recovered through higher post-training wages.,"During the training year, apprentices actually lose money compared to working informally—about ₹49,000 less. This is an investment: they sacrifice immediate earnings for better long-term job prospects.","Calculation: Stipend ₹10k/mo×12=₹120k vs Counterfactual ₹14k/mo×12=₹168k. Net: -₹48k≈-₹49k. Range: Pessimistic -₹80k (urban youth), Optimistic -₹20k (rural youth with limited alternatives). Impact: Reduces LNPV by ₹45-55k (4-5% of total). Added per Anand feedback (Dec 2025).",OC₀,INR/year,-49000,-80000,-20000,,
Working Life Duration (Formal Sector) [Excluded from sensitivity analysis- fixed structural assumptions],WORKING_LIFE_FORMAL,,,,N/A,,CT1,Statutory retirement age (60-62) minus typical entry age (22 for graduates),,"Formal sector has defined retirement age:
 - Government: 60 years (some states 58)
 - Private: 58-60 years (EPFO rules)
 - Recent proposal to raise to 62-65 (not yet implemented)
 
 Entry age:
 - Higher secondary + college: 22 years
 - Apprenticeship: 18-20 years
 
 Use 40 years (age 22-62) as baseline for college-educated.
 Use 42-44 years for apprentices (earlier entry).",,T_formal,years,40,42,3,,
Rural Female Casual/Informal Wage,BASELINE_WAGES['rural_female']['casual_informal'],,,,N/A,3,BASE,PLFS 2023-24 daily wage ₹299 × 25 days,"Directly measured from PLFS 2023-24: daily casual wage (₹299) multiplied by 25 working days per month. This is observed survey data, not estimated.","The lowest wage category in our model—rural women in casual work earn about ₹7,500/month. Many rural women actually do unpaid family labor, so even this low wage represents those who find paid work.","NOT varied in Monte Carlo (measured data). Lowest counterfactual wage. Many rural women in unpaid family labor (not captured here). Calculated: ₹299/day × 25 days = ₹7,475/mo.",W₀_RF_INF,INR/month,7475,6500,8500,,
"Rural Female Baseline Wage (Higher Secondary, 12yr)",BASELINE_WAGES['rural_female']['higher_secondary_12yr'],,,,N/A,3,CT1,"secondary (₹12,396) × (1.058)² = ₹15,558. Uses MINCER_RETURN_HS","Derived from secondary wage (₹12,396) using the 5.8% Mincer return: ₹12,396 × (1.058)² = ₹15,558. This reflects the standard education-wage relationship from PLFS 2023-24.","A rural woman with 12th grade earns about ₹15,500/month—still 53% less than an urban man with the same education. The gender and location gaps persist even at higher education levels.","NOT varied in Monte Carlo (measured/derived data). Gender + rural double penalty: 53% lower than urban male (₹32,800). Calculation: ₹12,396 × 1.058² = ₹15,558.",W₀_RF_HS,INR/month,15558,14000,17500,,
"Rural Female Baseline Wage (Secondary, 10yr)",BASELINE_WAGES['rural_female']['secondary_10yr'],,,,N/A,3,BASE,PLFS 2023-24 Table 21 direct measurement,Directly measured from PLFS 2023-24 Table 21 for salaried workers in regular wage employment. Represents average monthly earnings for rural females with secondary education.,"A rural woman with 10th grade education earns about ₹12,400/month—the lowest formal wage category, 52% below what urban men with the same education earn.","NOT varied in Monte Carlo (measured data). Lowest formal wage: rural + gender gap. 52% lower than urban male (₹26,105).",W₀_RF_S,INR/month,12396,11000,14000,,
Rural Male Casual/Informal Wage,BASELINE_WAGES['rural_male']['casual_informal'],,,,N/A,3,BASE,PLFS 2023-24 daily wage ₹444 × 25 days,"Directly measured from PLFS 2023-24: daily casual wage (₹444) multiplied by 25 working days per month. This is observed survey data, not estimated.","Rural men in casual work earn about ₹11,100/month—this is the wage floor for informal agricultural and manual labor, which is the alternative for youth who don't get formal training.","NOT varied in Monte Carlo (measured data). Rural informal wage floor. Agricultural labor-dominated. Calculated: ₹444/day × 25 days = ₹11,100/mo.",W₀_RM_INF,INR/month,11100,10000,12500,PLFS_annual_report_summary_2023_2024  |   mospi.gov.in  |   pib.gov.in,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2057970&reg=3&lang=2publication/periodic-labour-force-survey-quarterly-bulletin-april-june-2024  |   https://www.mospi.gov.in/web/mospi/reports-publications  |   https://pib.gov.in/indexd.aspx
"Rural Male Baseline Wage (Higher Secondary, 12yr)",BASELINE_WAGES['rural_male']['higher_secondary_12yr'],,,,N/A,3,CT1,"secondary (₹18,200) × (1.058)² = ₹22,880. Uses MINCER_RETURN_HS","Derived from secondary wage (₹18,200) using the 5.8% Mincer return: ₹18,200 × (1.058)² = ₹22,880. This reflects the standard education-wage relationship from PLFS 2023-24.","A rural man with 12th grade earns about ₹22,900/month—this is the key anchor for calculating RTE benefits in rural areas.","NOT varied in Monte Carlo (measured/derived data). Key anchor for rural RTE scenarios. Calculation: ₹18,200 × 1.058² = ₹22,880.",W₀_RM_HS,INR/month,22880,21000,25000,,
"Rural Male Baseline Wage (Secondary, 10yr)",BASELINE_WAGES['rural_male']['secondary_10yr'],,,,N/A,3,BASE,PLFS 2023-24 Table 21 direct measurement,Directly measured from PLFS 2023-24 Table 21 for salaried workers in regular wage employment. Represents average monthly earnings for rural males with secondary education.,"A rural man with 10th grade education earns about ₹18,200/month—30% less than an urban man with the same education, reflecting the persistent urban-rural wage gap.","NOT varied in Monte Carlo (measured data). Urban-rural gap: 30% lower than urban male (₹26,105).",W₀_RM_S,INR/month,18200,16500,20000,,
